ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P108604	NM_145686	NM_145686	NM_145686	Hs.431550	9448	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	ENST00000324219	THC2502936	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0005083(small GTPase regulator activity)|GO:0005524(ATP binding)|GO:0005575(cellular_component)|GO:0006468(protein amino acid phosphorylation)|GO:0006950(response to stress)|GO:0007243(protein kinase cascade)|GO:0016740(transferase activity)	"Homo sapiens mitogen-activated protein kinase kinase kinase kinase 4 (MAP4K4), transcript variant 2, mRNA [NM_145686]"	chr2:101871744-101871803	hs|2q11.2
A_23_P108641	NM_032822	NM_032822	NM_032822	Hs.651151	84908	FLJ14668	hypothetical protein FLJ14668	ENST00000037869	THC2511617	GO:0005515(protein binding)|GO:0005737(cytoplasm)	"Homo sapiens hypothetical protein FLJ14668 (FLJ14668), mRNA [NM_032822]"	chr2:70376731-70376672	hs|2p14
A_23_P108657	NM_152528	NM_152528	NM_152528	Hs.20848	151525	WDSUB1	"WD repeat, sterile alpha motif and U-box domain containing 1"	ENST00000359774	THC2471590	GO:0000151(ubiquitin ligase complex)|GO:0004842(ubiquitin-protein ligase activity)|GO:0016301(kinase activity)|GO:0016567(protein ubiquitination)	"Homo sapiens WD repeat, sterile alpha motif and U-box domain containing 1 (WDSUB1), mRNA [NM_152528]"	chr2:159821107-159821048	hs|2q24.2
A_23_P108662	NM_006302	NM_006302	NM_006302	Hs.645289	7841	GCS1	glucosidase I	ENST00000233616	THC2681968	"GO:0004573(mannosyl-oligosaccharide glucosidase activity)|GO:0005624(membrane fraction)|GO:0005783(endoplasmic reticulum)|GO:0006487(protein amino acid N-linked glycosylation)|GO:0008152(metabolic process)|GO:0009311(oligosaccharide metabolic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016798(hydrolase activity, acting on glycosyl bonds)"	"Homo sapiens glucosidase I (GCS1), mRNA [NM_006302]"	chr2:74541851-74541795	hs|2p13.1
A_23_P108673	NM_032181	NM_032181	NM_032181	Hs.302346	84141	TMEM166	transmembrane protein 166	ENST00000233712	THC2473412		"Homo sapiens transmembrane protein 166 (TMEM166), mRNA [NM_032181]"	chr2:75573334-75573275	hs|2p12
A_23_P108699	NM_000145	NM_000145	NM_000145	Hs.1428	2492	FSHR	follicle stimulating hormone receptor	ENST00000304421	THC2490222	GO:0004872(receptor activity)|GO:0004963(follicle-stimulating hormone receptor activity)|GO:0005515(protein binding)|GO:0005615(extracellular space)|GO:0005886(plasma membrane)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0007283(spermatogenesis)|GO:0007292(female gamete generation)|GO:0008585(female gonad development)|GO:0016021(integral to membrane)	"Homo sapiens follicle stimulating hormone receptor (FSHR), transcript variant 1, mRNA [NM_000145]"	chr2:49044251-49044192	hs|2p16.3
A_23_P10870	NM_014908	NM_014908	NM_014908	Hs.531563	22845	TMEM15	transmembrane protein 15	ENST00000372586	THC2463355	GO:0004605(phosphatidate cytidylyltransferase activity)|GO:0008654(phospholipid biosynthetic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens transmembrane protein 15 (TMEM15), mRNA [NM_014908]"	chr9:130747989-130747930	hs|9q34.11
A_23_P108708	NM_016494	NM_016494	NM_016494	Hs.356187	51255	LOC51255	hypothetical protein LOC51255	ENST00000306368	THC2466568	GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens hypothetical protein LOC51255 (LOC51255), mRNA [NM_016494]"	chr2:85677497-85677556	hs|2p11.2
A_23_P10873	NM_003263	NM_003263	NM_003263	Hs.575090	7096	TLR1	toll-like receptor 1	ENST00000308979	THC2471445	GO:0004888(transmembrane receptor activity)|GO:0005515(protein binding)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006954(inflammatory response)|GO:0007165(signal transduction)|GO:0007250(activation of NF-kappaB-inducing kinase)|GO:0042116(macrophage activation)|GO:0042495(detection of triacylated bacterial lipoprotein)|GO:0042497(triacylated lipoprotein binding)|GO:0042535(positive regulation of tumor necrosis factor-alpha biosynthetic process)|GO:0045087(innate immune response)|GO:0045335(phagocytic vesicle)|GO:0045410(positive regulation of interleukin-6 biosynthetic process)	"Homo sapiens toll-like receptor 1 (TLR1), mRNA [NM_003263]"	chr4:38474467-38474408	hs|4p14
A_23_P108734	NM_018436	NM_018436	NM_018436	Hs.97899	55821	ALLC	allantoicase	ENST00000252505	THC2478338	GO:0004037(allantoicase activity)|GO:0016787(hydrolase activity)	"Homo sapiens allantoicase (ALLC), transcript variant 1, mRNA [NM_018436]"	chr2:3722841-3722900	hs|2p25.3
A_23_P108743	NM_152381	NM_152381	NM_152381	Hs.73680	129446	CMYA3	cardiomyopathy associated 3		NP1142362	GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens cardiomyopathy associated 3 (CMYA3), transcript variant 1, mRNA [NM_152381]"	chr2:167824205-167824264	hs|2q24.3
A_23_P108751	NM_001039492	NM_001039492	NM_001039492	Hs.443687	2274	FHL2	four and a half LIM domains 2	ENST00000344213	NP1180779	"GO:0003713(transcription coactivator activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006357(regulation of transcription from RNA polymerase II promoter)|GO:0008270(zinc ion binding)|GO:0030521(androgen receptor signaling pathway)|GO:0045893(positive regulation of transcription, DNA-dependent)|GO:0046872(metal ion binding)|GO:0050681(androgen receptor binding)"	"Homo sapiens four and a half LIM domains 2 (FHL2), transcript variant 5, mRNA [NM_001039492]"	chr2:105343793-105343734	hs|2q12.2
A_23_P108761	ENST00000289382		CR611582	Hs.593973	55571	C2orf29	chromosome 2 open reading frame 29	ENST00000289382	THC2529983	GO:0003674(molecular_function)|GO:0005575(cellular_component)|GO:0008283(cell proliferation)	full-length cDNA clone CS0DC011YO02 of Neuroblastoma Cot 25-normalized of Homo sapiens (human). [CR611582]	chr2:101252237-101252296	hs|2q11.2
A_23_P108785	NM_005721	NM_005721	NM_005721	Hs.433512	10096	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	ENST00000263238	THC2495158	GO:0000166(nucleotide binding)|GO:0005200(structural constituent of cytoskeleton)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005885(Arp2/3 protein complex)|GO:0006928(cell motility)|GO:0030027(lamellipodium)	"Homo sapiens ARP3 actin-related protein 3 homolog (yeast) (ACTR3), mRNA [NM_005721]"	chr2:114431973-114432032	hs|2q14.1
A_23_P108819	NM_144579	NM_144579	NM_144579	Hs.368171	94097	SFXN5	sideroflexin 5	ENST00000272433	THC2502671	GO:0005506(iron ion binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006812(cation transport)|GO:0006826(iron ion transport)|GO:0008324(cation transporter activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens sideroflexin 5 (SFXN5), mRNA [NM_144579]"	chr2:73024867-73024808	hs|2p13.2
A_23_P108823	NM_032523	NM_032523	NM_032523	Hs.318775	114880	OSBPL6	oxysterol binding protein-like 6	ENST00000315022	THC2488691	GO:0006869(lipid transport)|GO:0008202(steroid metabolic process)	"Homo sapiens oxysterol binding protein-like 6 (OSBPL6), transcript variant 1, mRNA [NM_032523]"	chr2:178968499-178968558	hs|2q31.2
A_23_P108835	NM_016061	NM_016061	NM_016061	Hs.515890	51646	YPEL5	yippee-like 5 (Drosophila)	ENST00000379520	THC2470088		"Homo sapiens yippee-like 5 (Drosophila) (YPEL5), mRNA [NM_016061]"	chr2:30236632-30236691	hs|2p23.1
A_23_P108842	NM_004418	NM_004418	NM_004418	Hs.1183	1844	DUSP2	dual specificity phosphatase 2	ENST00000288943	THC2463209	GO:0000188(inactivation of MAPK activity)|GO:0004725(protein tyrosine phosphatase activity)|GO:0005634(nucleus)|GO:0006470(protein amino acid dephosphorylation)|GO:0008330(protein tyrosine/threonine phosphatase activity)|GO:0016787(hydrolase activity)|GO:0017017(MAP kinase phosphatase activity)	"Homo sapiens dual specificity phosphatase 2 (DUSP2), mRNA [NM_004418]"	chr2:96173021-96172962	hs|2q11.2
A_23_P10885	THC2632814								THC2632814		"Q8IZC8_HUMAN (Q8IZC8) Bone marrow zinc finger protein 2, partial (33%) [THC2632814]"	chr19:49304314-49304373	hs|19q13.31
A_23_P108871	NM_032494	NM_032494	NM_032494	Hs.418416	84524	ZC3H8	zinc finger CCCH-type containing 8	ENST00000272570	THC2471699	GO:0003676(nucleic acid binding)|GO:0005634(nucleus)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens zinc finger CCCH-type containing 8 (ZC3H8), mRNA [NM_032494]"	chr2:112690163-112690104	hs|2q13
A_23_P108883	NM_022055	NM_022055	NM_022055	Hs.591586	56660	KCNK12	"potassium channel, subfamily K, member 12"	ENST00000327876	THC2477789	GO:0005244(voltage-gated ion channel activity)|GO:0005267(potassium channel activity)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0030955(potassium ion binding)	"Homo sapiens potassium channel, subfamily K, member 12 (KCNK12), mRNA [NM_022055]"	chr2:47601950-47601891	hs|2p16.3
A_23_P108911	NM_187841	NM_187841	NM_187841	Hs.516036	57159	TRIM54	tripartite motif-containing 54	ENST00000349868	THC2602749	GO:0004871(signal transducer activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005856(cytoskeleton)|GO:0005874(microtubule)|GO:0007017(microtubule-based process)|GO:0007026(negative regulation of microtubule depolymerization)|GO:0007165(signal transduction)|GO:0008270(zinc ion binding)|GO:0030154(cell differentiation)|GO:0046872(metal ion binding)	"Homo sapiens tripartite motif-containing 54 (TRIM54), transcript variant 2, mRNA [NM_187841]"	chr2:27359105-27359164	hs|2p23.3
A_23_P108922	NM_018221	NM_018221	NM_018221	Hs.196437	55233	MOBK1B	"MOB1, Mps One Binder kinase activator-like 1B (yeast)"	ENST00000264089	THC2468495	GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0016491(oxidoreductase activity)	"Homo sapiens MOB1, Mps One Binder kinase activator-like 1B (yeast) (MOBK1B), mRNA [NM_018221]"	chr2:74235752-74235693	hs|2p13.1
A_23_P108932	NR_002229	NR_002229	NR_002229	Hs.503178	56969	RPL23AP13	ribosomal protein L23a pseudogene 13		THC2479352	GO:0000166(nucleotide binding)	Homo sapiens ribosomal protein L23a pseudogene 13 (RPL23AP13) on chromosome 2 [NR_002229]	chr2:54609872-54609931	hs|2p16.2
A_23_P108948	NM_018000	NM_018000	NM_018000	Hs.643579	55686	MREG	melanoregulin		NP488475		"Homo sapiens melanoregulin (MREG), mRNA [NM_018000]"	chr2:216516404-216516345	hs|2q35
A_23_P108970	NM_000272	NM_000272	NM_000272	Hs.280388	4867	NPHP1	nephronophthisis 1 (juvenile)	ENST00000316534	THC2472288	GO:0005198(structural molecule activity)|GO:0007165(signal transduction)|GO:0007588(excretion)|GO:0007632(visual behavior)|GO:0016020(membrane)|GO:0016337(cell-cell adhesion)|GO:0019904(protein domain specific binding)|GO:0030036(actin cytoskeleton organization and biogenesis)	"Homo sapiens nephronophthisis 1 (juvenile) (NPHP1), transcript variant 1, mRNA [NM_000272]"	chr2:110238037-110237978	hs|2q13
A_23_P108990	BC002534		BC002534	Hs.585028					THC2642503		"Homo sapiens cDNA clone IMAGE:3139291, partial cds. [BC002534]"	chr20:61923943-61924002	hs|20q13.33
A_23_P108994	NM_002951	NM_002951	NM_002951	Hs.370895	6185	RPN2	ribophorin II	ENST00000237530	THC2661501	GO:0004579(dolichyl-diphosphooligosaccharide-protein glycotransferase activity)|GO:0005783(endoplasmic reticulum)|GO:0006464(protein modification)|GO:0008250(oligosaccharyl transferase complex)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016740(transferase activity)|GO:0018279(protein amino acid N-linked glycosylation via asparagine)	"Homo sapiens ribophorin II (RPN2), mRNA [NM_002951]"	chr20:35285704-35285763	hs|20q11.23
A_23_P109001	NM_014657	NM_014657	NM_014657	Hs.370118	9675	KIAA0406	KIAA0406	ENST00000373448	THC2467168	GO:0005975(carbohydrate metabolic process)	"Homo sapiens KIAA0406 (KIAA0406), mRNA [NM_014657]"	chr20:36064499-36061141	hs|20q11.23
A_23_P109017	NM_006275	NM_006275	NM_006275	Hs.6891	6431	SFRS6	"splicing factor, arginine/serine-rich 6"	ENST00000244020	THC2529339	"GO:0000166(nucleotide binding)|GO:0003677(DNA binding)|GO:0003723(RNA binding)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006376(mRNA splice site selection)|GO:0006397(mRNA processing)|GO:0008380(RNA splicing)"	"Homo sapiens splicing factor, arginine/serine-rich 6 (SFRS6), mRNA [NM_006275]"	chr20:41523032-41523091	hs|20q13.11
A_23_P10902	NM_001463	NM_001463	NM_001463	Hs.128453	2487	FRZB	frizzled-related protein	ENST00000295113	THC2470543	GO:0001501(skeletal development)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0016020(membrane)|GO:0016055(Wnt receptor signaling pathway)|GO:0017147(Wnt-protein binding)|GO:0030154(cell differentiation)|GO:0030178(negative regulation of Wnt receptor signaling pathway)	"Homo sapiens frizzled-related protein (FRZB), mRNA [NM_001463]"	chr2:183407185-183407126	hs|2q32.1
A_23_P109026	NM_022358	NM_022358	NM_022358	Hs.528664	60598	KCNK15	"potassium channel, subfamily K, member 15"	ENST00000372861	THC2478658	GO:0005244(voltage-gated ion channel activity)|GO:0005267(potassium channel activity)|GO:0006811(ion transport)|GO:0006813(potassium ion transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0030955(potassium ion binding)	"Homo sapiens potassium channel, subfamily K, member 15 (KCNK15), mRNA [NM_022358]"	chr20:42813007-42813066	hs|20q13.12
A_23_P109034	NM_002999	NM_002999	NM_002999	Hs.632267	6385	SDC4	"syndecan 4 (amphiglycan, ryudocan)"	ENST00000372733	THC2778099	GO:0003674(molecular_function)|GO:0005887(integral to plasma membrane)|GO:0008092(cytoskeletal protein binding)|GO:0008150(biological_process)|GO:0009986(cell surface)|GO:0016020(membrane)	"Homo sapiens syndecan 4 (amphiglycan, ryudocan) (SDC4), mRNA [NM_002999]"	chr20:43388051-43387992	hs|20q13.12
A_23_P109055	NM_033550	NM_033550	NM_033550	Hs.440263	112858	TP53RK	TP53 regulating kinase	ENST00000372114	THC2461882	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0004713(protein-tyrosine kinase activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0006468(protein amino acid phosphorylation)|GO:0016740(transferase activity)	"Homo sapiens TP53 regulating kinase (TP53RK), mRNA [NM_033550]"	chr20:44748003-44747944	hs|20q13.12
A_23_P109072	NM_020436	NM_020436	NM_020436	Hs.517113	57167	SALL4	sal-like 4 (Drosophila)	ENST00000217086	NP868666	"GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens sal-like 4 (Drosophila) (SALL4), mRNA [NM_020436]"	chr20:49834322-49834263	hs|20q13.2
A_23_P10911	NM_173542	NM_173542	NM_173542	Hs.115896	196463	LOC196463	hypothetical protein LOC196463	ENST00000280800	THC2471042		"Homo sapiens hypothetical protein LOC196463 (LOC196463), mRNA [NM_173542]"	chr12:112311388-112311447	hs|12q24.13
A_23_P109122	BC054347	XM_044921	BC054347	Hs.471955	57593	RP5-860F19.3	KIAA1442 protein	ENST00000380648	THC2601787	"GO:0003677(DNA binding)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)|GO:0008134(transcription factor binding)|GO:0008270(zinc ion binding)|GO:0030528(transcription regulator activity)|GO:0046872(metal ion binding)"	"Homo sapiens KIAA1442 protein, mRNA (cDNA clone IMAGE:5502800), complete cds. [BC054347]"	chr20:2688641-2688700	hs|20p13
A_23_P109133	NM_000490	NM_000490	NM_000490	Hs.89648	551	AVP	"arginine vasopressin (neurophysin II, antidiuretic hormone, diabetes insipidus, neurohypophyseal)"	ENST00000380293	THC2480295	GO:0005185(neurohypophyseal hormone activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005625(soluble fraction)|GO:0006091(generation of precursor metabolites and energy)|GO:0006833(water transport)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0042310(vasoconstriction)	"Homo sapiens arginine vasopressin (neurophysin II, antidiuretic hormone, diabetes insipidus, neurohypophyseal) (AVP), mRNA [NM_000490]"	chr20:3011624-3011391	hs|20p13
A_23_P109143	NM_000311	NM_000311	NM_000311	Hs.472010	5621	PRNP	"prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"	ENST00000379440	THC2465162	"GO:0005507(copper ion binding)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005783(endoplasmic reticulum)|GO:0005794(Golgi apparatus)|GO:0005886(plasma membrane)|GO:0006139(nucleobase, nucleoside, nucleotide and nucleic acid metabolic process)|GO:0006878(copper ion homeostasis)|GO:0006979(response to oxidative stress)|GO:0008017(microtubule binding)|GO:0008152(metabolic process)|GO:0019898(extrinsic to membrane)|GO:0045121(lipid raft)|GO:0048503(GPI anchor binding)"	"Homo sapiens prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia) (PRNP), transcript variant 1, mRNA [NM_000311]"	chr20:4629923-4629982	hs|20p13
A_23_P109171	NM_001195	NM_001195	NM_001195	Hs.129702	631	BFSP1	"beaded filament structural protein 1, filensin"	ENST00000377873	THC2464659	GO:0000175(3'-5'-exoribonuclease activity)|GO:0003723(RNA binding)|GO:0005200(structural constituent of cytoskeleton)|GO:0005212(structural constituent of eye lens)|GO:0005515(protein binding)|GO:0005856(cytoskeleton)|GO:0005882(intermediate filament)|GO:0006396(RNA processing)|GO:0008150(biological_process)|GO:0016020(membrane)	"Homo sapiens beaded filament structural protein 1, filensin (BFSP1), mRNA [NM_001195]"	chr20:17422629-17422570	hs|20p12.1
A_23_P109184	NM_002196	NM_002196	NM_002196	Hs.89584	3642	INSM1	insulinoma-associated 1	ENST00000377286	THC2464265	"GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens insulinoma-associated 1 (INSM1), mRNA [NM_002196]"	chr20:20299123-20299182	hs|20p11.23
A_23_P109193	NM_022080	NM_022080	NM_022080	Hs.269471	63908	NAPB	"N-ethylmaleimide-sensitive factor attachment protein, beta"	ENST00000377026	NP1160197	GO:0005478(intracellular transporter activity)|GO:0005488(binding)|GO:0005783(endoplasmic reticulum)|GO:0005794(Golgi apparatus)|GO:0006886(intracellular protein transport)|GO:0006888(ER to Golgi vesicle-mediated transport)|GO:0019905(syntaxin binding)	"Homo sapiens N-ethylmaleimide-sensitive factor attachment protein, beta (NAPB), mRNA [NM_022080]"	chr20:23306035-23305976	hs|20p11.21
A_23_P109201	NM_020531	NM_020531	NM_020531	Hs.472330	57136	C20orf3	chromosome 20 open reading frame 3	ENST00000217456	THC2773624	GO:0003674(molecular_function)|GO:0005575(cellular_component)|GO:0008150(biological_process)|GO:0009058(biosynthetic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016844(strictosidine synthase activity)	"Homo sapiens chromosome 20 open reading frame 3 (C20orf3), mRNA [NM_020531]"	chr20:24891659-24891600	hs|20p11.21
